No,Pengguna,Waktu,Ulasan,Label
2169,IPS,2021-12-08 2:41:25,"Jika ingin memakai aplikasi peduli lindungi harus memakai android versi terbaru?sedangkan hp saya versi lama jika disuruh untuk memaki android versi terbaru apakah pihak aplikasi peduli lindungi ingin membiayai? JADI TOLONGLAH PERBARUI LAGI,SAYA KEBERATAN SANGAT KEBERATAN JIKA INGIN BERPERGIAN MASA IYA HARUS BELI HP DULU YG ANDROID VERSI TERBARU UNTUK BISA MEMAKAI PEDULI LINDUNGI JADI TOLONGLAH PERBARUI UNTUK BISA SEMUA VERSI ANDROID MEMAKAI APLIKASI PEDULI LINDUNGI.",Negatif
2170,HH,2021-12-08 2:43:41,Alhamdulillah... aplikasinya sdh normal kembali... Terimakasih team..🙏🙏👍👍,Positif
2171,AH,2021-12-08 2:46:35,Sangat bermanfaat sekali.,Positif
2172,IJ,2021-12-08 2:50:30,Buruk,Negatif
2173,PT,2021-12-08 2:52:39,makin update malah gk bisa lihat sertifikat vaksin,Negatif
2174,AR,2021-12-08 2:57:06,Sangat bermanfaat,Positif
2175,NAH,2021-12-08 2:59:36,Sangat buruk Pas klaim sertifikat vaksin gagal terus Capca nya susah bet salah mulu . . . . . . . . . . . . . . . . . . . . . . Lu ngerasain juga gk co!?,Negatif
2176,D,2021-12-08 3:01:04,Mantap......pokona mah👌👌👌👌👌👌👌👌👍👍👍👍👍👍👍👍,Positif
2177,TW,2021-12-08 3:02:26,Repot aplikasinya. Sering hrs dftr lagi daftar lg. Pdhal sdh pernah dftr. Pdhal yg antri dibelakang sy sdh mengular. Sdh vaksin to sertifikat tdk muncul,Negatif
2178,JS,2021-12-08 3:02:48,Kenapa ko saya donlot perduli lindungi ko keluar ya,Negatif
2179,MA,2021-12-08 3:05:16,Lanjut.mantap,Positif
2180,ID,2021-12-08 3:05:49,"Berharap seperti aplikasi BPJS , bisa dipakai untuk satu KK",Positif
2181,SA,2021-12-08 3:09:10,New Era (Check in Check out),Positif
2182,FH,2021-12-08 3:11:44,Oh iya bagaimana cara mengganti nik ktp karna nik ktp sebelum sudah non aktif,Positif
2183,FB,2021-12-08 3:11:51,Bagus,Positif
2184,ASW,2021-12-08 3:12:42,MANTAP !!! 👍👍👍,Positif
2185,WB,2021-12-08 3:13:26,Good Indonesia ku,Positif
2186,A,2021-12-08 3:13:44,Bgus,Positif
2187,FF,2021-12-08 3:13:52,"Tolong infonya cara daftar masuk ke peduli lindungi, terimakasih",Positif
2188,RR,2021-12-08 3:23:21,Oke,Positif
2189,ZZ,2021-12-08 3:26:42,"Gak badus kerena pas mau masuk ribet benar, dan selalu eroe",Negatif
2190,AM,2021-12-08 3:34:15,Data nik udh sesuai tapi ketika ganti tgl lahir gabisa ganti tahun,Negatif
2191,TR,2021-12-08 3:34:46,Ok,Positif
2192,SC,2021-12-08 3:40:45,Kenapa sertifikat gak bisa dibuka?? Setiap diklik keluar sendiri,Negatif
2193,SK,2021-12-08 3:41:07,Kenapa saya salah ketik tanggal penyutikan satu saja sudah tidak direspon,Negatif
2194,RK,2021-12-08 3:41:11,Tiap berangkat keluar kota berubah ubah mulu ni. Tolong dong buat isi yg keluar bandara itu bahasa indonesia aja,Negatif
2195,RS,2021-12-08 3:42:54,Semoga bisa lbh sempurna,Negatif
2196,AS,2021-12-08 3:48:04,Ok,Positif
2197,ES,2021-12-08 3:51:52,Bagus,Positif
2198,RM,2021-12-08 3:56:36,Good banget,Positif
2199,BH,2021-12-08 3:57:46,Aplikasi nyusahin,Negatif
2200,YS,2021-12-08 4:02:39,👍👍,Positif
2201,RM,2021-12-08 4:03:11,Pengisian data diri sangat lama saat mengisi tgl lahir. Kasihan yg tahun kelahirannya 1990 ke bawah. Capek touch trs x12. Utk fitur dan tmpilan lbh dtgktkn lg. Trlbih lg krahasiaan data pribadi..,Negatif
2202,WS,2021-12-08 4:03:18,Good,Positif
2203,HA,2021-12-08 4:03:52,Aplikasi yg lahir dari bisnis....,Negatif
2204,DAS,2021-12-08 4:07:33,"kenapa mau input vaksin sendiri gagal terus ? sudah sebulan sertifikat vaksin kedua saya tidak muncul, telpon 119 nggak di angkat terus email gabisa ngantri, tolong solusinya dong",Negatif
2205,AW,2021-12-08 4:11:32,Kok saya belum menerima notifikasi lewat SMS yah ? Padahal saya sudah vaksin tanggal 6 bulan 12 kemarin,Negatif
2206,RM,2021-12-08 4:11:57,Sertifikat saya mana? Udah vaksin ke dua nih,Negatif
2207,RE,2021-12-08 4:14:26,Like,Positif
2208,CD,2021-12-08 4:15:16,Knapa aplikasinya tidak bs di dowload,Negatif
2209,MG,2021-12-08 4:17:16,Data vaksin sudah 4 bulan blm masuk,Negatif
2210,AN,2021-12-08 4:21:45,mantab,Positif
2211,XFA,2021-12-08 4:24:12,Sudah vaksin kah kalian,Positif
2212,RNR,2021-12-08 4:25:38,"Aplikasi saya error, saya sudah vaksin kedua tapi ngga terbaca",Negatif
2213,EM,2021-12-08 4:27:17,Saya Sdh vaksin ke 2 tp blm keluar certifikatnya,Negatif
2214,SR,2021-12-08 4:28:25,kenapa ndk mau di buka.aplikasinya berpakali di cobak ndk mau juga,Negatif
2215,AP,2021-12-08 4:28:34,Aplikasi mantap,Positif
2216,HMKTC,2021-12-08 4:31:52,Kebapa sertifikat vaksin tdk masuk ya tolong perbaikannya,Negatif
2217,RU,2021-12-08 4:32:42,"Sertivikat vaksin ke 1 & ke 2, sdh ada. Eh... Malahan hilang lg, kaga nongol diaplikasi. ....PAYAH....",Negatif
2218,AS,2021-12-08 4:33:53,Klo bisa bahasa indonesia semua.ini sy malah bingung isi ehack krn bahasa inggris,Negatif
2219,DTN,2021-12-08 4:35:32,Sangat membantu dalam bepergian,Positif
2220,RWS,2021-12-08 4:39:03,"Selalu forced close setiap dibuka, mengecewakan padahal aplikasi pemerintah",Negatif
2221,B,2021-12-08 4:41:35,Bagus,Positif
2222,SM,2021-12-08 4:42:05,"Kenapa tiba-tiba keluar sendiri, mau login ngga bisa. Tolong dong diperbaiki",Negatif
2223,SW,2021-12-08 4:45:25,Bagus sangat membantu,Positif
2224,BA,2021-12-08 4:46:37,"Setelah diupdate, tidak menambilkan semua pelabuhan di Indonesia contohnya Pelabuhan Sri Bintan Pura Tanjungpinang Kepulauan Riau tidak ada",Negatif
2225,FM,2021-12-08 4:46:39,Min kok saya ga bisa masuk ya pdahal no HP nya bener kode Verifikasi bener tapi ga bisa masuk,Negatif
2226,NCL,2021-12-08 4:48:13,Mantap,Positif
2227,YT,2021-12-08 4:53:22,Duh susah aplikasinya malah jika pergi kemana mana malah gk bisa chekout,Negatif
2228,SM,2021-12-08 4:55:28,Membantu,Positif
2229,HS,2021-12-08 4:58:49,"Aplikasi tidak berguna, tapi seolah olah dibuat penting, cobalah kalian pikir manfaat nya apa coba, gak ada sama sekali manfaatnya,",Negatif
2230,SF,2021-12-08 4:59:15,Ok,Positif
2231,BH,2021-12-08 5:01:07,Pelayanan vaksin yang baik,Positif
2232,MM,2021-12-08 5:03:50,Semoga Dapat mendukung program pemerintah dengan baik,Positif
2233,ED,2021-12-08 5:05:08,"Sertifikat vaksin tidak bisa ditampilkan!!!!!! Nggk ngerti lagi sama apk ini, sampek udah website nya di cek masih nggk mucul sertifikatnya payah!!!!!!!!!!!!!!!!! ¡!!!!!!!!!!!!!!!!!!!",Negatif
2234,MS,2021-12-08 5:10:36,Lebih mudah di gunakan,Positif
2235,JP,2021-12-08 5:12:23,BAgus yang pertama sebelum di updet aplikasi ny ini mh ribet,Negatif
2236,AA,2021-12-08 5:12:36,Mayoritas sertifikat vaksin tdk keluar baik itu ortu dan anak padahal di status vaksin aplikasi sdh dosis 2X knp hal gtu tdk diselesaikan ? Udah jelas status vaksin 2x tpi sertifikat tdk keluar ngapain minta masyarakat tlpn / email padahal sudah jelas kekurangan dr aplikasi,Negatif
2237,IS,2021-12-08 5:16:31,Amat sangat susah untuk mengisi tanggal lahir harus kembali gak bisa langsung isi tanggal lahir seperti mengisi no nik dan verifikasi juga ribet,Negatif
2238,HO,2021-12-08 5:19:01,Kenapa mau pilih tanggal lahir harus secara manual.dasar aplikasi setan,Negatif
2239,ZA,2021-12-08 5:19:46,"Saya mau lihat sertivkat vaksin ko ga bisa,, dan saya juga chag ke no Kemenkes dengan panduan hai Ga ada jawaban",Negatif
2240,LSR,2021-12-08 5:21:36,"saya di vaksin sudah 2 minggu yang lalu , tapi ini di aplikasi statusnya gak berubah masih status belum di vaksin , kalo kerja yang bener dong",Negatif
2241,RV,2021-12-08 5:21:44,Aplikasi peduliLindungi ini sangat penting untuk.ku dan semua orang yg sudah di vaksinasi ?,Positif
2242,SA,2021-12-08 5:25:01,Dua dulu,Negatif
2243,SA,2021-12-08 5:33:05,"Aplikasi kadaluarsa, tidak jelas",Negatif
2244,BA,2021-12-08 5:33:41,tolong dibuat agar layarnya bisa diputar.,Negatif
2245,IB,2021-12-08 5:33:47,"Susah sekali install pedulilindungi nya di playstore , kenapa yah",Negatif
2246,AB,2021-12-08 5:35:23,"Lemot sekali, gak dapat2 kode otp",Negatif
2247,G,2021-12-08 5:36:14,Terimakasih udah difaksin yang kedua.ayo kita melaksanakan Faksin.,Positif
2248,SA,2021-12-08 5:36:56,Untuk mempermudah penggunaanya.,Positif
2249,PP,2021-12-08 5:39:52,Klaim sertifikat kenapa sering bermasalah ya? Jadinya kita gak bisa input data vaksinasi kita yang belum ada di sistem.,Negatif
2250,PN,2021-12-08 5:41:19,"Tetap ga bisa boss,,, Sayangnya,peduli lindungi telah berhenti terus",Negatif
2251,MFS,2021-12-08 5:41:47,Sangat membantu,Positif
2252,CLKSK,2021-12-08 5:42:54,Gabisa di download,Negatif
2253,TH,2021-12-08 5:50:08,Update mulu bosen menuh menuhin memory aja nyet,Negatif
2254,DK,2021-12-08 5:50:24,terlalu banyak update🤦🏼‍♀️,Negatif
2255,MA,2021-12-08 5:51:12,Good Like,Positif
2256,JK,2021-12-08 5:52:54,Apk ini sangattt bguss teh dbest,Positif
2257,FU,2021-12-08 5:54:02,Ah,Negatif
2258,YO,2021-12-08 5:58:33,Keren,Positif
2259,MN,2021-12-08 6:00:15,Kok ribet sih,Negatif
2260,MFAW,2021-12-08 6:05:58,Kasih tiga dlu,Positif
2261,HS,2021-12-08 6:07:24,Mau cek sertivikat vaksin kok gak bisa sama sekali ya?,Negatif
2262,IA,2021-12-08 6:08:14,Baik,Positif
2263,AK,2021-12-08 6:08:35,"Pada aplikasi sertifikat vaksin saya susah di temukan,hanya diberi keterangan sudah vaksin dosis 2.",Negatif
2264,CT,2021-12-08 6:12:10,"Pukul berapa WhatsApp kemenkes.ri bisa di WhatsApp soalnya saya sudah sering-sering WhatsApp ke nomor tersebut tetapi tidak ada balasan satupun , intinya Saya pengen tahu jam berapa bisa direspon oleh nomor Kemenkes RI?",Negatif
2265,YS,2021-12-08 6:12:15,Bagus,Positif
2266,T,2021-12-08 6:14:36,Gabagus,Negatif
2267,TD,2021-12-08 6:16:16,Baguss,Positif
2268,APA,2021-12-08 6:17:22,"Bagus aplikasinya, membantu saya untuk melihat sertifikat",Positif
2269,FLFL,2021-12-08 6:19:38,Sangat kecewa dengan aplikasi ini Sertifikat vaksin saya tidak muncul Dan pusat bantuan nya sangat lambat merespon Mohon di perbaiki nanti saya tambahkan bintang nya,Negatif
2270,PW,2021-12-08 6:22:46,Sangat membantu,Positif
2271,AP,2021-12-08 6:24:47,Gimana ini aku udah vaksin dua sertifikat nya ga ada keluar..... Dihubungi tempat vaksinasinya ga aktif sttus udah vaksin ke dua...udah hijau.,Negatif
2272,PC,2021-12-08 6:25:07,Aplikasi nya sangat bagus,Positif
2273,GS,2021-12-08 6:27:51,Terimakasih ...Aplikasi ini sangat bermanfaat👍🙏,Positif
2274,TR,2021-12-08 6:28:20,Kenapa sih asik bolak balik mintak update.. Hadehhh..,Negatif
2275,MPO,2021-12-08 6:29:52,"Minta sertifikat vaksin saja susah sekali. Banyak kali captcha yang di lewati, 5 menit tidak selesai2. Aplikasi tidak berguna. Tidak pantas di Indonesia ini",Negatif
2276,AT,2021-12-08 6:32:12,Aplikasi payah,Negatif
2277,MC,2021-12-08 6:33:17,"Simple menu,mudah akses,ga ribet",Positif
2278,HS,2021-12-08 6:38:49,Sangat membantu sekali....good job,Positif
2279,LL,2021-12-08 6:39:05,Mantapp,Positif
2280,TA,2021-12-08 6:40:30,"Pelayananya kurang sigap, kurang respon",Negatif
2281,UU,2021-12-08 6:42:12,Susah kali pakeknya. Kurang jelas,Negatif
2282,AB,2021-12-08 6:43:50,teu jelasssss.aplikasi na ge erorrrrr.parahhh.masa cek sertifikat vaksin bukan ny nongol barcode malah keluar aplikasi ny,Negatif
2283,US,2021-12-08 6:43:55,Bagaimana cara mendapatkan sertipikat vaksin karena sudah divaksin,Positif
2284,AN,2021-12-08 6:45:34,Dagang,Positif
2285,ER,2021-12-08 6:48:47,Bagus,Positif
2286,AMM,2021-12-08 6:49:52,Sering eror,Negatif
2287,SS,2021-12-08 6:50:04,Sangat bagus,Positif
2288,HH,2021-12-08 6:57:02,Sertifikat susah muncul.tlg di perbaiki,Negatif
2289,NRC,2021-12-08 6:57:18,Baik,Positif
2290,GG,2021-12-08 6:58:26,"Ga guna klaim sertifikat vaksin aja cara nya ribet amat mau inilah mau itulah disuruh itu lagi dan ulang seterusnya masih ga ada ,Menyusahkan aja bisanya Ga Guna",Negatif
2291,ADP,2021-12-08 7:03:18,INI KENAPA GK BISA LIAT SERTIFIKAT VAKSIN DI APK NYA?! TOLONG DONG KASIH INFONYA GIMANA INI?,Negatif
2292,ALM,2021-12-08 7:07:31,Aplikasi payah sudah vaksin tp sertivikat gak muncul..saya ganti HP malah tidak muncul ..yg buat aplikasi IT ny masih bodoh sekelas milik pemerintah tp sangat kurang profesional,Negatif
2293,ME,2021-12-08 7:08:22,"Bgus""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""”""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$$$$_$_""",Positif
2294,GA,2021-12-08 7:08:34,Belum jelas,Negatif
2295,SA,2021-12-08 7:09:54,Sertifikat vaksinku gak keluar... hadeuuuh,Negatif
2296,DS,2021-12-08 7:13:46,Ok.. mantap 👍👍👍,Positif
2297,IS,2021-12-08 7:15:39,Masak cek nya d shopee cepet ... pakek aplikasini 1 x 2 jam gak bisa ....gak beres,Negatif
2298,WPB,2021-12-08 7:21:39,Bagus,Positif
2299,RN,2021-12-08 7:26:52,Mantapp,Positif
2300,SY,2021-12-08 7:32:46,Tingkatkan lagi biar bisa mudah masuk kealpikasi,Negatif
2301,MW,2021-12-08 7:34:47,👍👍👍,Positif
2302,MAA,2021-12-08 7:38:09,"Ga jelas, apk cacad",Negatif
2303,RC,2021-12-08 7:44:44,Mantap,Positif
2304,KSC,2021-12-08 7:46:30,"Aplikasi suka berhenti dan keluar sendiri, tolong d perbaiki lagi lah, biar gak nyusahin orang, saat akan d gunakan tiba2 aplikasi berhenti",Negatif
2305,MA,2021-12-08 7:47:27,Kenapa saya tidak bisa melakukan check in ketika berada di mall mohon ditindak lanjuti,Negatif
2306,DC,2021-12-08 7:58:27,Baik,Positif
2307,FG,2021-12-08 8:00:50,Sangat bermanfaat bgt bagi kita anak bangsa..yg cinta tanah air untuk mejaga kesehatan bersama...,Positif
2308,DS,2021-12-08 8:05:10,"HELLO ADMIN APLIKASI PEDULI LINDUNGI...TOLONG KERJANYA PROFESIONAL DONG,SAYA SUDAH BERJUTA KALI MENDOWLOAD APLIKASI INI,YANG KELUAR DI DALAM APLIKASI ITU BUKAN NAMA SAYA,TAPI SELALU NAMA WAHYU TERUS,SAYA MASUKKAN BERJUTA KALI NAMA DAN NOMER NIK SAYA,YANG ADA KELUAR KATA² MASUKKAN NAMA DAN NO NIK SESUAI DGN KTP TERUS BEGITU,BAGAIMANA SIH CARA KERJANYA NIH APLIKASI,DI TLP KATANYA SDH SESUAI DGN NAMA SY,TP DI APLIKASI PEDULI LINDUNGI NAMANYA WAHYU,APLIKASI NGGA JELAS KALO BEGINI,TLNG DIRESPON DEH!!",Negatif
2309,OAMS,2021-12-08 8:06:35,Ok,Positif
2310,DU,2021-12-08 8:09:03,Ok,Positif
2311,GB,2021-12-08 8:10:48,Bagus dan membantu banget,Positif
2312,ES,2021-12-08 8:11:20,Top,Positif
2313,ARA,2021-12-08 8:14:18,Sangat membantu buat aktivitasku,Positif
2314,DKC,2021-12-08 8:14:57,vaksin udah 2 kali sertipkat belum mucul udah lwat imel komlen ga di tanggapin haduh,Negatif
2315,AB,2021-12-08 8:21:57,Saya Lebih suka dengan yg dlu Dan lebih bagus yang dlu Dri pada setelah di UPDATE,Negatif
2316,JE,2021-12-08 8:24:54,ok,Positif
2317,AS,2021-12-08 8:25:07,Bagus,Positif
2318,MM,2021-12-08 8:31:37,TerKadang lama ngisi gambar pertanya'anya,Negatif
2319,SH,2021-12-08 8:33:42,bgs,Positif
2320,TR,2021-12-08 8:42:06,"Lebih suka yg dulu...sekarang sering gagal ,eror kalo scan check in",Negatif
2321,HH,2021-12-08 8:43:40,Sangat membatu...👍,Positif
2322,ZM,2021-12-08 8:43:42,Oke👍👍👍👍💗💗,Positif
2323,AS,2021-12-08 8:44:24,"Mohon di verifikasi ulang versi ini, soalnya di Android lima lolipop tidak bisa tampil sertifikat vaksin, Saya pakek xperia d2305 Terimakasih sebelumnya",Negatif
2324,HH,2021-12-08 8:47:43,susah kalau mau scan qr check in...mesti update melulu....👎👎👎👎👎,Negatif
2325,HS,2021-12-08 8:48:00,Bermanfaat,Positif
2326,HM,2021-12-08 8:48:41,Mantap,Positif
2327,JJ,2021-12-08 8:51:20,Baik,Positif
2328,AT,2021-12-08 8:54:16,Kenapa suka nge Cras (keluar sendiri) setelah di update... Apa lagi aplikasi peduli lindungi ini sangat di perlukan ketika di bandara,Negatif
2329,BN,2021-12-08 8:59:22,Seru,Positif
2330,MR,2021-12-08 9:01:02,Hmm UI nya terlalu tidak simpel.. pandangan mata jadi kurang nyaman.. lebih bagus model tipe line icon daripada full flat icon.. mungkin bisa jadi bhan evaluasi lg kedepan. Thanks,Negatif
2331,ANM,2021-12-08 9:01:50,berat,Negatif
2332,R,2021-12-08 9:05:26,Hi Admin Setelah di updated paspor digital nya kmana yaa,Positif
2333,MM,2021-12-08 9:11:19,Mantap,Positif
2334,MH,2021-12-08 9:12:13,Kenapa surat vaksin yang ke dua tidak ada padahal sudah vaksin ke dua..kalau begini kita yang susah..percuma dong vaksin kalau untuk dapat sertifikat vaksin aja susah..,Negatif
2335,AIH,2021-12-08 9:13:49,ok,Positif
2336,AW,2021-12-08 9:18:48,"Sama sekali tidak membantu,,nol besar",Negatif
2337,LY,2021-12-08 9:19:19,Udah lulus dari covid.,Positif
2338,DS,2021-12-08 9:24:45,Aplikasi nya sudah di download. Tapi pas di buka. Sayang aplikasi telah berhenti. Tolong di perbaiki,Negatif
2339,STA,2021-12-08 9:26:32,Kenapa Aplikasi ini gk di Buka cuma ada tanda centang doang🤦,Negatif
2340,KS,2021-12-08 9:27:11,Tidak bs di unduh yg bermasalah hp sy apa aplikasinya🤔🤔🤔🤔🤔😂,Negatif
2341,YY,2021-12-08 9:27:15,Data saya hilang bersama hp saya yg hilang...mengunduh sertifikat vaksin TDK bisa krna lupa tgl vaksin...saya pikir dengan menyimpan nik KTP semua data sudah d input ternyata tidak...dan membuat orang bingung,Negatif
2342,TK,2021-12-08 9:32:01,Mantap,Positif
2343,HI,2021-12-08 9:32:38,jos,Positif
2344,AS,2021-12-08 9:34:25,sudah,Positif
2345,NM,2021-12-08 9:34:47,Keren,Positif
2346,EW,2021-12-08 9:40:39,Sangat membutuhkan aplikasi ini .sudah beberapa kali di dunloat tapi tdak berhasil mungkin bisa infonya agarudah didunloat,Negatif
2347,HW,2021-12-08 9:41:34,Top,Positif
2348,ABT,2021-12-08 9:43:10,MANTAP,Positif
2349,TH,2021-12-08 9:48:17,Good,Positif
2350,RK,2021-12-08 9:50:35,"Program vaksin nasional tetapi pelaksanaan amburadul. Vaksin Pfizer tahap 1 sudah, giliran mau vaksin tahap 2, keliling kota Palembang kosong semua. Kerja tidak becus hanya menghabiskan uang rakyat saja",Negatif
2351,KS,2021-12-08 9:51:02,"Akurat, valid. Menuju Indonesia Sehat",Positif
2352,IC,2021-12-08 9:54:22,Terima kasih,Positif
2353,AI,2021-12-08 10:08:55,"Tolong ditingkatkan lagi kinerja servernya biar gx eror lagi, ini kan aplikasi penting yang dipakai dipelosok negri ini.",Negatif
2354,AK,2021-12-08 10:11:43,"Tidak bisa melihat sertifikat vaksin. Padahal data sudah terisi lengkap, dan tinggal memverifikasi dg mencantumkan kode. Tetapi kode verifkasi via email yg dimasukan selalu expire walau sudah belasan kali dilakukan. Padahal buka email di laptop dan tdk membutuhkan waktu untuk bolak balik buka hp. Kode verifikasi via sms tdk ada",Negatif
2355,TNR,2021-12-08 10:14:19,update terus ......,Negatif
2356,L,2021-12-08 10:14:44,Erorr mulu,Negatif
2357,FS,2021-12-08 10:24:58,"aduh ribet ....saya berulang kali cek apa ada yg salah dgn registrasi saya ...nama,nik, tgl lahir,no hp,jenisvaksin, tempat vaksin...semua sdh benar sudah verifikasi aku bukan robot...tapi kenapa gk mau login dan muncul itu sertifikatnya...tolong di perbaiki keributan ini",Negatif
2358,KK,2021-12-08 10:25:13,Mantul,Positif
2359,GP,2021-12-08 10:25:25,APLIKASI PEMBISNIS !!!🤡,Negatif
2360,CC,2021-12-08 10:36:45,Aplikasi sangat membantu,Positif
2361,DW,2021-12-08 10:38:21,Terima Kasih,Positif
2362,AL,2021-12-08 10:42:41,Tingkatkan lg ke depannya.,Positif
2363,IA,2021-12-08 10:47:01,Lebih suka tampilan yang lama!!!!,Negatif
2364,HW,2021-12-08 10:59:24,Aplikasi tidak berfungsi,Negatif
2365,DAT,2021-12-08 11:00:27,Aplikasi ini sangat berguna dan bisa memudahkan kita sebagai masyarakat indonesia supaya bisa tahu tehtang covid-19,Positif
2366,PM,2021-12-08 11:01:26,Ribet...............!!!!!!!!!!!!!,Negatif
2367,YYT,2021-12-08 11:01:55,Mantap,Positif
2368,RB,2021-12-08 11:03:18,Info seputar vaksinasi??,Positif
2369,RS,2021-12-08 11:08:17,Gak bisa klaim sertifikat padahal udah dosis dua,Negatif
2370,KJ,2021-12-08 11:10:18,Bagus,Positif
2371,ED,2021-12-08 11:15:38,Sangat membantu dlm aktivitas diluar karena pandemi.kemana mana harus pakai srtfikat vaksin,Positif
2372,N,2021-12-08 11:17:17,Lamaaaa,Negatif
2373,AFHH,2021-12-08 11:20:18,Lebih Suka Tampilan Sekarang. Lebih Simple dan Bersih. Tetap Jaga Kesehatan Semua☺,Positif
2374,AA,2021-12-08 11:21:17,Bagus,Positif
2375,MR,2021-12-08 11:22:18,Mantul,Positif
2376,RA,2021-12-08 11:23:43,tak berguna. sudah vaksin ke 2 bulan oktober tapi belum juga ada keterangan. tercatat baru dosis 1 terus. disuruh donlod aplikasi ini tetep saja diakui baru dosis 1,Negatif
2377,MRNA,2021-12-08 11:24:25,"Kecewa banget sih sama apk ini.lagi mau liat surat vaksin,tiba tiba muncul tulisan ""sesi anda telah habis Silahkan login kembali"" Ketika mau login lagi,malah ad tulisan ""Veryfy otp salah"".Ampe 10 kali kaya gitu. Tolong dong",Negatif
2378,NF,2021-12-08 11:24:29,Kenapa unduh sertifikat g muncul ea padahal sdah mlaksnakan vaksin ke 2,Negatif
2379,MR,2021-12-08 11:25:25,Ok,Positif
2380,RA,2021-12-08 11:25:41,"NIK sudah terdaftar vaksin,dan sudah mendapat vaksin sampai dosis 2,namun sertifikat vaksin tidak muncul di aplikasi peduli lindungi.mengecewakan.",Negatif
2381,SY,2021-12-08 11:26:54,Cepat respon,Positif
2382,W,2021-12-08 11:27:41,Terimakasih sangat membantu,Positif
2383,HR,2021-12-08 11:28:19,Ok,Positif
2384,AA,2021-12-08 11:29:37,"Mudah kok cara nya bukti nya saya dapat sertifikat nya melalui aplikasi ini klik gambar mobil 4/5 kali,terus sepeda 4/5 trus klik terus sesuai gambar klik terus sampai verifikasi nya",Positif
2385,RK,2021-12-08 11:29:53,"Saya edit ulasan saya, Sekaramg sudah mulai membaik apk nya. Hanya kadang masih agak susah untuk check in di satu tmpt.",Positif
2386,APM,2021-12-08 11:30:51,"apk nya ngga jelas bgt dah, udh ngisi bener semua masi aja gabisa lanjut",Negatif
2387,SM,2021-12-08 11:33:28,oke,Positif
2388,AS,2021-12-08 11:37:01,"Untuk melihat sertifikat tolong di benarkah karena tidak bisa di buka, padahal sudah di coba di berbeda hp",Negatif
2389,SG,2021-12-08 11:38:46,Bgus,Positif
2390,AT,2021-12-08 11:40:10,"Aplikasi nya masih banyak eror, saya yg sering pegang hp pun merasakan banyak eror apalagi dipakai sama orang awam yang kurang faham pakai nya pasti makin pusing, sayang banget kaya dibikin asal asal an aplikasi nya",Negatif
2391,SI,2021-12-08 11:40:13,Good,Positif
2392,HB,2021-12-08 11:41:10,Tolong di perbaiki aplikasinya...,Negatif
2393,DS,2021-12-08 11:50:54,Lama bgt install ny😴,Negatif
2394,AA,2021-12-08 11:52:20,baik bamget bagus,Positif
2395,TT,2021-12-08 11:55:06,ini ga bisa donlod lgi..aplksi peduli lindungi.ini..knp yahh...,Negatif
2396,TM,2021-12-08 11:55:57,"Mantap,,aplikasikasix dan mungkin lbih baik di permudah lagi aplkasix",Positif
2397,MS,2021-12-08 11:58:14,Sangat membanti,Positif
2398,RE,2021-12-08 11:58:33,Bagus,Positif
2399,RI,2021-12-08 12:05:53,Ribet banget cuma mau klaim sertifikat vaksin harus ngisi captca dulu. Udah diisi malah ga bisa klaim. Apa-apaan ini? 👎💩,Negatif
2400,AP,2021-12-08 12:06:13,"Mau nambahkan sertifikat anggota keluarga kebanyakan verifikasi gambar smpe berkali2 akhirnya ttap gak bisa. Mending verifikasi pake kode. Kirain stelah update hari ini, verifikasi udh pake angka. Tetap dgn keribetan yg sama",Negatif
2401,VE,2021-12-08 12:08:27,"Enakan aplikasi yang sebelum update.Saya udh vaksin dosis ke-2,tapi kenapa sertifikat vaksinnya belum keluar? Saya udh nungguin selama 2 bulan loh! Padahal kan katanya sertifikat itu penting buat kalau mau bepergian..",Negatif
2402,ZW,2021-12-08 12:10:02,Wao aplikasi ini lumayan bagusss............ .. .............. .....................................!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!! !!!! !!!!!!!!!!!!!! !!!??? Mantull👍,Positif
2403,AD,2021-12-08 12:10:23,sangat buruk,Negatif
2404,MM,2021-12-08 12:11:09,Baik,Positif
2405,CC,2021-12-08 12:23:14,Bagus,Positif
2406,AR,2021-12-08 12:31:33,Sangat baik,Positif
2407,AN,2021-12-08 12:33:25,bagus sekali,Positif
2408,IM,2021-12-08 12:38:01,"Apknya kurang lengkap saat mau klaim sertifikat vaksin selalu ada pemberitahuan capta salah padahal capta yg saya masukan benar serta identitas saya juga benar,dan saat memasukan tanda lahir menurut saya lebi efisien jika mengisinya dengan manual tanpa mengundur kalender karna akan memakan waktu yang sangat lama apa lagi yg lahir di tahun 1000an. segitu saja sih makasih🙂",Negatif
2409,RD,2021-12-08 12:45:07,"Aplikasi kok bikin kesel ya, masa tiap saya login ga bisa? Mandang hp kah aplnya?",Negatif
2410,HK,2021-12-08 12:45:36,Sangant membantu,Positif
2411,LP,2021-12-08 12:48:48,Siiip,Positif
2412,JH,2021-12-08 12:49:42,Menurut saya aplikasi ini aplikasi abal abal karena mendaptar nya cukup di persulit,Negatif
2413,DA,2021-12-08 12:52:24,Lebih bagus yg dulu,Negatif
